"sentence","tag"
"quite new designed,quiet room happening location","Facilities"
"location city perfect business leisure near beautiful leadenhall market. theres tube station right street. gym wellequipped offers nice view. staff incredibly friendly goes ensure perfect stay, including accommodating early checkin late checkout requests. definitely stay again.","Facilities"
"hotel gorgeous sets place apart people. gorgeous locations thoroughly ruined rude, unapproachable staff. staff lovely, polite, professional warm.","Facilities"
"literally complain here. gorgeous place, outstanding facilities food just world lovely.","Facilities"
"modern, clean friendly hotel","Facilities"
"surprised told checkout 5 discretionary charge added bill. highly unusual customerfriendly, surely room rate offered covering costs fees. overall experience enjoyable think twice booking hotel especially city like london huge choice similar price point","Facilities"
"breakfast incredible , rooms amazing . staff friendly.","Facilities"
"charge sort candles seen, needed ask charge for. days sorted, thanks","Facilities"
"spotless.","Facilities"
"amazing luxury hotel extra special hotel staff. relaxation area superb room clean spacious. bar area really nice drink heading london. finer details room feel really special.","Facilities"
"slightly frustrating children playing pool outside allotted pool times. however, pool cleared amazing space. surprised added discretionary service charge 5 thought included room rate.","Facilities"
"issues, keys 2 rooms didnt open, went reprogram keys again, dont know why, second daughter room went order room service told inefficient paid 600 arrival....","Facilities"
"everything, amazing, particularly service, staff wonderful x","Facilities"
"breakfast quality poor. inroom dining limited varieties quality poor.","Facilities"
"coffee table room.","Facilities"
"service exceptional, friendly helpful staff rooms extremely comfortable needs catered","Facilities"
"breakfast","Facilities"
"absolutely beautiful hotel amazing staff","Facilities"
"facilities exceptional amenities incredibly high standard immaculate.","Facilities"
"service left little desired. ring hour check luggage hadnt arrived room. staff member appeared room asked luggage looked like good! checkin staff member didnt room. felt impersonal. checking out, surprised left luggage room collected. fairly standard luxury hotels. did joke theyd lose farce checkin. easily best hotels london service needs improved.","Facilities"
"value money, good sized rooms, friendly personnel, nicely decorated rooms, central location meetings city","Facilities"
"everything, hotel amazing","Facilities"
"perfect","Facilities"
"stunning, great service, immaculate facilities. super location stunning hotel","Facilities"
"room size. attentive staff. room decor minibar. automatic curtains nice touch","Facilities"
"cross plaza bar","Facilities"
"super clean comfortable, amazing relaxing stay.","Facilities"
"beautiful view suite 19th floor. overcrowded swimming pool nice service confortable bed","Facilities"
"price english breakfast 36","Facilities"
"location great, room clean expected.","Facilities"
"breakfast limited offering taking price account.","Facilities"
"daughter 12th birthday upgraded room free gave free snacks nice, staff friendly welcoming breakfast lady katalin amazing spa treatments amazing overall really enjoyed amazing hotel. coming partner anniversary.","Facilities"
"excellent location, beautiful decor. exceptionally clean","Facilities"
